time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-29 00:00:00+00:00,20,6,15,5
2026-03-30 00:00:00+00:00,175,29,73,10
2026-03-31 00:00:00+00:00,109,30,47,8
2026-04-01 00:00:00+00:00,104,40,19,3
2026-04-02 00:00:00+00:00,101,55,15,6
2026-04-03 00:00:00+00:00,26,15,6,4
2026-04-04 00:00:00+00:00,22,12,5,4
2026-04-05 00:00:00+00:00,25,11,17,2
2026-04-06 00:00:00+00:00,17,8,2,2
2026-04-07 00:00:00+00:00,17,9,2,2
2026-04-08 00:00:00+00:00,135,39,37,3
2026-04-09 00:00:00+00:00,79,37,3,3
2026-04-10 00:00:00+00:00,60,24,6,5
2026-04-11 00:00:00+00:00,21,18,6,5
