time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,17,9,2,2
2026-04-08 00:00:00+00:00,135,39,37,3
2026-04-09 00:00:00+00:00,79,37,3,3
2026-04-10 00:00:00+00:00,60,24,6,5
2026-04-11 00:00:00+00:00,21,18,6,5
2026-04-12 00:00:00+00:00,65,11,7,6
2026-04-13 00:00:00+00:00,56,23,4,3
2026-04-14 00:00:00+00:00,33,12,1,1
2026-04-15 00:00:00+00:00,36,12,7,5
2026-04-16 00:00:00+00:00,27,15,19,8
2026-04-17 00:00:00+00:00,37,12,16,4
2026-04-18 00:00:00+00:00,26,14,7,5
2026-04-19 00:00:00+00:00,49,23,3,2
2026-04-20 00:00:00+00:00,61,26,16,9
