time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-17 00:00:00+00:00,5,5,84,10
2025-12-18 00:00:00+00:00,3,3,17,2
2025-12-19 00:00:00+00:00,125,38,81,6
2025-12-20 00:00:00+00:00,20,11,1,1
2025-12-21 00:00:00+00:00,10,5,1,1
2025-12-22 00:00:00+00:00,62,17,26,4
2025-12-23 00:00:00+00:00,137,28,67,4
2025-12-24 00:00:00+00:00,15,4,1,1
2025-12-25 00:00:00+00:00,13,7,2,2
2025-12-26 00:00:00+00:00,11,4,6,6
2025-12-27 00:00:00+00:00,13,6,2,2
2025-12-28 00:00:00+00:00,21,6,1,1
2025-12-29 00:00:00+00:00,10,6,1,1
2025-12-30 00:00:00+00:00,15,7,2,2
