time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-10 00:00:00+00:00,15,9,71.0,6.0
2025-03-11 00:00:00+00:00,40,11,29.0,6.0
2025-03-12 00:00:00+00:00,9,4,46.0,9.0
2025-03-13 00:00:00+00:00,20,6,64.0,7.0
2025-03-14 00:00:00+00:00,5,2,10.0,4.0
2025-03-15 00:00:00+00:00,8,5,,
2025-03-16 00:00:00+00:00,10,3,8.0,1.0
2025-03-17 00:00:00+00:00,15,6,74.0,5.0
2025-03-18 00:00:00+00:00,9,6,88.0,11.0
2025-03-19 00:00:00+00:00,5,3,76.0,8.0
2025-03-20 00:00:00+00:00,63,9,171.0,20.0
2025-03-21 00:00:00+00:00,19,8,48.0,11.0
2025-03-22 00:00:00+00:00,6,6,17.0,1.0
2025-03-23 00:00:00+00:00,9,2,1.0,1.0
