time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-23 00:00:00+00:00,89,12,120,18
2025-05-24 00:00:00+00:00,15,6,18,9
2025-05-25 00:00:00+00:00,18,4,15,14
2025-05-26 00:00:00+00:00,49,9,14,10
2025-05-27 00:00:00+00:00,26,6,27,7
2025-05-28 00:00:00+00:00,13,4,66,20
2025-05-29 00:00:00+00:00,13,6,21,9
2025-05-30 00:00:00+00:00,13,4,39,11
2025-05-31 00:00:00+00:00,20,13,5,5
2025-06-01 00:00:00+00:00,21,8,13,8
2025-06-02 00:00:00+00:00,19,10,41,14
2025-06-03 00:00:00+00:00,18,8,24,10
2025-06-04 00:00:00+00:00,15,4,19,8
2025-06-05 00:00:00+00:00,9,9,14,9
