time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-15 00:00:00+00:00,17,6,2,2
2025-06-16 00:00:00+00:00,45,19,26,6
2025-06-17 00:00:00+00:00,16,10,35,8
2025-06-18 00:00:00+00:00,19,12,25,8
2025-06-19 00:00:00+00:00,52,14,51,9
2025-06-20 00:00:00+00:00,11,3,16,5
2025-06-21 00:00:00+00:00,13,4,3,2
2025-06-22 00:00:00+00:00,16,5,5,4
2025-06-23 00:00:00+00:00,14,7,22,4
2025-06-24 00:00:00+00:00,11,3,15,6
2025-06-25 00:00:00+00:00,10,4,6,5
2025-06-26 00:00:00+00:00,13,6,27,7
2025-06-27 00:00:00+00:00,10,4,7,5
2025-06-28 00:00:00+00:00,37,6,19,5
