url_path,views_total,views_unique
/astro-informatics/s2fft,186,114
/astro-informatics/s2fft/pulls,25,2
/astro-informatics/s2fft/actions,18,5
/astro-informatics/s2fft/tree/main/notebooks,14,7
/astro-informatics/s2fft/issues,14,4
/astro-informatics/s2fft/tree/main/s2fft,11,7
/astro-informatics/s2fft/actions/workflows/tests.yml,11,3
/astro-informatics/s2fft/blob/main/.github/workflows/build.yml,7,3
/astro-informatics/s2fft/pull/304,7,1
/astro-informatics/s2fft/blob/922dae6adb0a2064fced3081708546d922eca34a/s2fft/transforms/spherical.py,6,2
