time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-15 00:00:00+00:00,30,13,3,3
2026-05-16 00:00:00+00:00,39,16,2,2
2026-05-17 00:00:00+00:00,30,10,0,0
2026-05-18 00:00:00+00:00,23,17,1,1
2026-05-19 00:00:00+00:00,92,57,4,3
2026-05-20 00:00:00+00:00,41,22,12,4
2026-05-21 00:00:00+00:00,146,36,9,3
2026-05-22 00:00:00+00:00,173,42,40,2
2026-05-23 00:00:00+00:00,26,16,16,4
2026-05-24 00:00:00+00:00,38,19,1,1
2026-05-25 00:00:00+00:00,76,26,1,1
2026-05-26 00:00:00+00:00,43,23,1,1
2026-05-27 00:00:00+00:00,56,16,2,2
2026-05-28 00:00:00+00:00,28,16,1,1
