url_path,views_total,views_unique
/astro-informatics/s2fft,34,25
/astro-informatics/s2fft/pulls,9,5
/astro-informatics/s2fft/commits,8,2
/astro-informatics/s2fft/issues,6,3
/astro-informatics/s2fft/tree/main/examples,5,3
/astro-informatics/s2fft/blob/main/examples/data/Gaia_EDR3_flux.npy,5,1
/astro-informatics/s2fft/tree/main/examples/data,4,1
/astro-informatics/s2fft/tree/main,3,1
/astro-informatics/s2fft/actions/workflows/docs.yml,2,2
/astro-informatics/s2fft/blob/main/examples/spherical_harmonic_transform.py,2,2
