time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-04 00:00:00+00:00,21,10,50.0,4.0
2025-09-05 00:00:00+00:00,10,8,38.0,7.0
2025-09-06 00:00:00+00:00,14,10,11.0,4.0
2025-09-07 00:00:00+00:00,14,9,,
2025-09-08 00:00:00+00:00,15,6,14.0,6.0
2025-09-09 00:00:00+00:00,22,6,36.0,7.0
2025-09-10 00:00:00+00:00,10,9,53.0,10.0
2025-09-11 00:00:00+00:00,6,5,66.0,4.0
2025-09-12 00:00:00+00:00,6,6,34.0,9.0
2025-09-13 00:00:00+00:00,5,5,7.0,2.0
2025-09-14 00:00:00+00:00,12,7,21.0,4.0
2025-09-15 00:00:00+00:00,16,16,11.0,3.0
2025-09-16 00:00:00+00:00,18,13,14.0,5.0
2025-09-17 00:00:00+00:00,10,7,25.0,6.0
