time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-04 00:00:00+00:00,15,4,19.0,8.0
2025-06-05 00:00:00+00:00,17,11,14.0,9.0
2025-06-06 00:00:00+00:00,11,5,15.0,6.0
2025-06-07 00:00:00+00:00,26,16,8.0,6.0
2025-06-08 00:00:00+00:00,23,8,33.0,9.0
2025-06-09 00:00:00+00:00,30,6,91.0,7.0
2025-06-10 00:00:00+00:00,16,4,19.0,8.0
2025-06-11 00:00:00+00:00,20,14,17.0,7.0
2025-06-12 00:00:00+00:00,15,8,17.0,5.0
2025-06-13 00:00:00+00:00,11,5,23.0,4.0
2025-06-14 00:00:00+00:00,10,4,,
2025-06-15 00:00:00+00:00,17,6,2.0,2.0
2025-06-16 00:00:00+00:00,45,19,26.0,6.0
2025-06-17 00:00:00+00:00,5,5,35.0,8.0
